date,ticker,side,shares,price,value,cost
2026-01-13,000002,buy,2.3383325972274417e-05,853.60311291841,0.0199600798403193,3.9920159680638704e-05
2026-01-13,000070,buy,0.0005949693074129,33.548083223165,0.0199600798403193,3.9920159680638704e-05
2026-01-13,000547,buy,6.768430034840316e-05,294.8996995991,0.0199600798403193,3.9920159680638704e-05
2026-01-13,000564,buy,0.0013437054079023,14.85450584848,0.0199600798403193,3.9920159680638704e-05
2026-01-13,000603,buy,0.0002457463794782,81.222274292302,0.0199600798403193,3.9920159680638704e-05
2026-01-13,000733,buy,0.0001910953941629,104.45086825744,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002025,buy,5.495615269867261e-05,363.2000942599,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002027,buy,0.0001931686831753,103.32979193219,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002028,buy,7.943369973112015e-06,2512.7974534591,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002149,buy,0.000119796302647,166.61682705796,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002195,buy,5.2528525676994416e-05,379.9855332521,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002241,buy,2.7120271836100506e-05,735.98376745435,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002249,buy,0.000127441720099,156.62123694501,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002300,buy,0.0002502012035115,79.776114423832,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002472,buy,8.193869658649659e-05,243.59772210007,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002475,buy,1.0392649030363777e-05,1920.5959695168,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002703,buy,0.0003049504471569,65.453518846778,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002709,buy,3.128212220309567e-05,638.06667945131,0.0199600798403193,3.9920159680638704e-05
2026-01-13,002714,buy,2.0323984589541108e-05,982.09481277559,0.0199600798403193,3.9920159680638704e-05
2026-01-13,300037,buy,5.511409827902394e-05,362.15923808221,0.0199600798403193,3.9920159680638704e-05
2026-01-13,300131,buy,6.815862441775025e-05,292.84745710216,0.0199600798403193,3.9920159680638704e-05
2026-01-13,300255,buy,4.467121582574326e-05,446.82195170557,0.0199600798403193,3.9920159680638704e-05
