date,strategy_net,strategy_gross,benchmark_net,benchmark_gross
2026-01-12,1.0,1.0,1.0,1.0
2026-01-13,0.9980039920159665,1.0,0.9980164609053669,1.0
2026-01-14,0.9661736172082911,0.9681059644427074,0.9686964874792444,0.9706800265738775
2026-01-15,0.9659811217412768,0.9679130839847597,0.9640334069734127,0.9660169460680458
2026-01-16,0.9759743455505558,0.9779262942416569,0.9728597257965282,0.9748432648911614
2026-01-19,0.9638751268181892,0.9658028770718259,0.9638800816767252,0.9658636207713585
2026-01-20,0.9726550099616947,0.9766095815043117,0.9733861696080026,0.9759339546598499
2026-01-21,0.9398152532943164,0.9436393045549978,0.943813296223095,0.9462771847615895
2026-01-22,0.959413579848381,0.9633120831250938,0.9636788167099704,0.9661931911894863
2026-01-23,0.9877978465935273,0.9918054052093772,0.9769599365197548,0.9795159628980068
2026-01-26,1.0131982946239515,1.0173165485973161,1.0010031218284423,1.003628280673326
2026-01-27,0.9774135056038242,0.983108925669836,0.971135551856428,0.9740515638741336
2026-01-28,0.9928762690359446,0.9986568412015532,0.9874167271534355,0.9903832120642165
2026-01-29,0.9846683394039071,0.9903920480449523,0.982679617294958,0.9856311283198467
2026-01-30,0.9755864858237289,0.9812531426531993,0.9653942341634225,0.9682939115801436
2026-02-02,0.9776333291071955,0.9832946690104891,0.9543894396787241,0.9572583197355458
2026-02-03,0.9683876058763121,0.9757026662301763,0.9493512149572098,0.9526029355651191
2026-02-04,0.9878069878760991,0.9952720571122076,0.9681540247507424,0.9714743846784689
2026-02-05,0.962083978154713,0.9693543006280512,0.951011095336061,0.9542730911578601
2026-02-06,0.9397984934210436,0.9469036790174683,0.933105880893393,0.9363058282758437
2026-02-09,0.9684272541445939,0.9757698359660694,0.9639138873938043,0.967222596896738
2026-02-10,0.9821403555685779,0.9914008701712167,0.9718495597230606,0.9755609656126838
2026-02-11,0.9693180288782453,0.9784506138956661,0.9672677785735798,0.97096408406456
2026-02-12,0.9687936348289011,0.9779175316740667,0.967574142881486,0.9712708106434809
2026-02-13,0.9679525363520729,0.9770679380809735,0.969822172504954,0.9735263388452505
2026-02-24,0.9804259012467784,0.9896493431244054,0.9795443385196656,0.983283352563682
2026-02-25,0.9810613613291103,0.9922198959138383,0.9773673519292247,0.9815933062318984
2026-02-26,0.9893694046269469,1.0006061683958734,0.9895906607852879,0.9938681826033136
2026-02-27,0.989153370849079,1.0003881004270905,0.9852503317385277,0.9895104791109134
2026-03-02,0.9936395053232108,1.004916476693607,0.9938085193458098,0.9981043837874228
2026-03-03,1.0071640668464032,1.0185683865437944,1.005684459896424,1.010033018273302
2026-03-04,0.9376184715593279,0.9500346339753276,0.9396579104585288,0.9440675741903127
2026-03-05,0.9722664812733536,0.9851514270878678,0.9760073142906691,0.9805934402736635
2026-03-06,0.9657088769737665,0.9785039961975167,0.9613289456027294,0.9658477399007607
2026-03-09,0.9549470172572784,0.9675842359173625,0.950724893216908,0.9551933972942807
2026-03-10,0.9812350651879678,0.9942217625982682,0.9762895257342048,0.9808750955707932
2026-03-11,0.9960797248657193,1.0114152332514503,0.9862899039535562,0.9914109455536149
2026-03-12,0.9973059318115247,1.0126781611804998,0.983448736612593,0.9885647028809623
