date,rskew,cpv_mean,cpv_std,smart,cpv_block,score
2026-01-12,0.136686031477222,-0.12482066509626272,0.07492191967577769,-0.01791664441835392,-0.03543849492262352,0.05102195795321584
2026-01-13,0.01308236186995573,-0.14001809501216866,0.17799704052783377,0.012877623764487705,0.006653688966841775,0.01983185789225307
2026-01-14,0.04899318681075978,-0.1789877211076548,0.11948671316241902,-0.03082421299264539,-0.07077800328496982,-0.019264718025155798
2026-01-15,-0.004381006711800078,-0.06726681085509169,0.011470547300383084,-0.02339784568471965,-0.045640558048365386,-0.01662820289608114
2026-01-16,-0.042906897552363314,0.08712536080302162,-0.04927514473463585,0.02186192487874699,0.047287311930154514,0.0417265143885901
2026-01-19,0.003048068640948244,0.013996286494692234,0.011476553199584422,0.05490787895055393,0.037569348570727475,0.06213442723324502
2026-01-20,0.018615090715340253,0.06450116306985666,-0.06301182765915715,0.031530871517381966,0.03623340635099929,0.04892474525894259
2026-01-21,0.05213051281758058,0.03360448275923491,-0.0538277125670664,-0.0012475193097511571,0.039360288948864,0.04380389275863937
2026-01-22,0.1010131617258788,0.00932492234404507,-0.028475072292348295,-0.023805462327917453,0.029776777415410932,0.0636178898584896
2026-01-23,0.1566704500171524,-0.05522517688579153,-0.005231445733763884,-0.01412146250311867,-0.022507996826619824,0.05680593633208617
2026-01-26,0.09325395099308503,0.08368879466482583,-0.07092962873893711,0.020803067279411017,0.02830373374642031,0.04821218109548865
2026-01-27,0.07175361774884235,0.06985103338750318,-0.03598087309344267,0.038221785508931294,0.05935852481259645,0.0397607925506239
2026-01-28,0.002545532963984157,0.06217961394236331,-0.007120329804847735,0.06324381633839507,0.040461727904586305,0.05708691083295488
2026-01-29,-0.0199506354420646,0.09090325683050487,0.03979114929558666,0.0399872837761167,0.08400501141942884,0.07178742239388747
2026-01-30,-0.03769946812286743,0.02122925572843735,0.06525242552507278,-0.02924944758225663,0.041186633000424626,0.01293874723436451
2026-02-02,-0.004994541589750924,-0.014816601644235237,0.12158434036836165,0.03745513648591392,0.05324129508640627,0.06558651291610171
