factor,ic_mean,ic_std,icir,positive_ic_rate,ic_nw_t,q5_q1_mean,monotonicity
rskew,0.02573854362229764,0.04734284697011012,0.5436627763122833,0.6991150442477876,3.473588436043768,0.0015852305837184015,0.8999999999999998
cpv_mean,0.001072290587744987,0.078220795616446,0.013708510368559034,0.5221238938053098,0.08068170107830716,0.00020779567869171512,0.3
cpv_std,0.0049072220680454,0.06405827680081026,0.07660558967741901,0.504424778761062,0.4679269642357805,-0.00011612892527026173,-0.6
smart,0.00801693328790419,0.062492750838726636,0.12828581203911593,0.5929203539823009,0.7222843753875692,0.0003546187330677257,0.6
cpv_block,0.00816430983378099,0.053301969763687486,0.1531708841151122,0.5309734513274337,0.9239914669597457,3.2039332659658266e-05,0.3
score,0.025738303177071997,0.060593790540627766,0.4247679992855806,0.6991150442477876,2.5551510114053335,0.0014663533628522089,0.49999999999999994
